45,Wole Soyinka,Research Areas:\nComparative Theatre Formation Across Cultures,arts-and-humanities
46,Milena Tekeste,"Research Areas:\nFuture of Work and Organizations, Careers, Flexibility at Work, Gender, Inequality, Qualitative Methods",social-science
47,Korhan Kocak,Research Areas:\nPolitical Economy; Formal Theory; Comparative Politics,social-science
48,Michael Reiter,"Research Areas:\ncomputational macroeconomics, with a focus on computational methods for heterogeneous agent models (",social-science
49,Gabriel Koehler-Derrick,Research Areas:\nDevelopment; State building; MENA region; Religious politics,social-science
50,Debdeep Mukhopadhyay,Research Areas:\nCryptographic engineering; micro-architectural security; hardware-security; adversarial attacks on machine-learning; encrypted computations,engineering
51,Giovanni Federico,Research Areas:\nTrade and Globalization; Agriculture; Long-term Population Growth,social-science
52,Aysan Celik,"Research Areas:\nShakespeare, devised work, documentary theater, comedy, classical texts, dance-theater, cross-gender work, cabaret",arts-and-humanities
53,Robert Volcic,"Research Websites:\nVolcic Lab\nResearch Areas:\nNeuroscience, Cognitive Systems",science
54,Talal Rahwan,"Research Websites:\nData Science and AI Lab\nResearch Areas:\nArtificial Intelligence, Multi-Agent Systems, Cooperative Game Theory, Computational Social Science",science
55,Sandra Peters,"Research Areas:\nart in architecture, sculpture, installation, moving images, performance",arts-and-humanities
56,Elena Beretta,"Research Areas:\nApplied mathematics, mathematical modeling, differential equations, inverse problems, medical imaging, algorithms, machine learning",science
57,Wendy Bednarz,"Research Areas:\nfilmmaking, photography, documentary",arts-and-humanities
58,Mostafa Mobasher,"Research Websites:\nComputational Solid Mechanics (CSM)\nResearch Areas:\nComputational methods; fracture mechanics; finite elements; multiphysics, material modeling",engineering
59,Cristina Buarque de Hollanda,Research Areas:\nHuman Rights; Transitional Justice; Political Theory; Brazilian Political Thought,social-science
60,Zaynab El Bernoussi,"Research Areas:\nDignity Politics, International Politics, Global South",social-science
61,Aaron Kaufman,Research Areas:\nComputational Social Science; Data Science; American Politics,social-science
62,Minsu Park,Research Areas:\nCulture; Consumption; Social Networks; Computational Social Science; Human-centered Data Science,social-science
63,Olivia Cheung,"Research Websites:\nObjects and Knowledge Laboratory\nResearch Areas:\nCognitive Neuroscience, Visual Cognition, Categorization, Perceptual Expertise",science
64,Marwa Banna,"",science
65,Jamie Whelan,"Research Areas:\nMaterials Science, Petroleomics, Teaching",science
66,Diogo Arsénio,"Research Areas:\nPartial Differential Equations, Collisional Kinetic Theory",science
67,Francesco Paparella,"Research Websites:\nCenter for Stability, Instability, and Turbulence\nResearch Areas:\nGeophysical Fluids, Earth-systems Processes",science
68,Susan Marie Ossman,"Research Websites:\nScattered Subjects\nResearch Areas:\nMobility, Subjectivity; Globalization; Gender; Art and Scholarship",arts-and-humanities
69,Christopher Paik,Research Areas:\nInternational politics; Political geography; Comparative political economy; Economic history,social-science
70,Mazin Magzoub,Research Websites:\nMagzoub Lab: Biophysics\nResearch Areas:\nDelivery of Antitumor Agents and Therapeutics for Amyloid Diseases,science
71,Tynchtyk Amatov,"Research Areas:\nCatalysis, natural product synthesis, medicinal chemistry, nucleic acids chemistry",science
72,Samer Madanat,Research Websites:\nTransportation Infrastructure Management Lab\nResearch Areas:\ntransportation infrastructure management,engineering
73,Erich E. Dietrich,Research Areas:\nInternational Higher Education,arts-and-humanities
74,Shaikha Rashid Al Mazrou,"Research Areas:\nSculpture, Installation, Mixed Media, Materiality",arts-and-humanities
75,Kemal Celik,"Research Websites:\nAMBER Lab\nResearch Areas:\nConstruction materials, energy efficiency, sustainable and functional structural materials",engineering
76,Sarah Paul,"Research Areas:\nphilosophy of action, philosophy of mind",arts-and-humanities
77,Diogo Almeida,"Research Websites:\nLanguage, Mind and Brain\nResearch Areas:\nNeurolinguistics, Language Processing",science
78,Kevin O'Rourke,Research Websites:\nSocial Science History Lab\nResearch Areas:\nHistory of the international economy,social-science
79,Angelyn Hilgendorf,"",arts-and-humanities
80,Mohammed Daqaq,"Research Websites:\nLaboratory of Applied Nonlinear Dynamics (LAND)\nResearch Areas:\napplication of nonlinear phenomena to improve the performance of micro-power generation systems, micro-electromechanical systems, and vibration assisted manufacturing processes",engineering
81,Surabhi Sharma,"Research Areas:\nMusic, Migration in Cities, Labour and Globalisation, Gender and Health,",arts-and-humanities
82,Ram Natarajan,Research Areas:\nViolence; Non-Violence; Memory; Trauma; Law; Literature; Translation; Argentina; India,arts-and-humanities
83,Marwa Chafii,Research Areas:\nWireless Communications; Integrated Sensing and Communication; Waveform Design; Localization,engineering
84,Sarah Katrina Valdez,Research Areas:\nimmigration; segregation; assimilation; radical right,social-science
85,Georgi Derluguian,Research Areas:\nRevolutions; Social change; Ethnography,social-science
86,Barbara Constance Scheck,Research Areas:\n(Social) Entrepreneurship; Impact Investing & Social Finance; Impact Measurement and Management,social-science
87,Je Ir Ryu,Research Areas:\nAerospace Propulsion; Energy Science; Reactive Flows; Combustion; Detonation; Hypersonics; High-Performance Computing; Computational Fluid Dynamics; Multi-Physics Computation,engineering
88,Susan K Nash,"Research Areas:\nInternational legal ethics, particularly in the arena of arbitration",arts-and-humanities
89,Peter Hubert Thurlow,Research Areas:\nMonetary Policy; Fiscal Policy,social-science
90,Qingtao Chen,"Research Areas:\nMathematical Physics, Quantum Topology and Global Differential Geometry",science
91,Tina Sherwell,Research Areas:\nidentity; landscape; Arab art; Palestinian art; visual culture,arts-and-humanities
92,Daungyewa Utarasint,"Research Areas:\nPolitical Violence, Voting Behavior, Gender and Violence, Southeast Asia Politics",arts-and-humanities
93,Zeynep Ozgen,Research Areas:\nPolitical sociology; Social movements; Culture,social-science
94,Salha Reema Fadda,Research Areas:\nArt History; Art and Politics of the Arab world; Cultural Politics,arts-and-humanities
95,Jonathan Kwan,"Research Areas:\nSocial and political philosophy, environmental philosophy, decolonial philosophy, philosophy of race, Chinese philosophy",arts-and-humanities
96,Ozgur Sinanoglu,Research Areas:\nHardware Security,engineering
97,Madeleine Wolf,"Research Areas:\nFrench literature, culture, and film; 19th-century French studies; sound studies; violence; gender and sexuality; French language",arts-and-humanities
98,Elisabeth Anderson,"Research Areas:\nPolitical Sociology, Comparative-historical Sociology, Social Theory",social-science
99,Piergiorgio Percipalle,"Research Websites:\nLaboratory of Cell and Molecular Biology\nResearch Areas:\nMolecular Genetics, Cell Biology",science
100,Awam Amkpa,"Research Areas:\nmodernisms in film and theater, postcolonial film and theater, Black Atlantic films and theater, visual arts",arts-and-humanities
101,John Wooders,"Research Websites:\nSocial Science Experimental Laboratory (SSEL)\nCenter for Behavioral Institutional Design\nResearch Areas:\nMicroeconomic Theory, Experimental Economics",social-science
102,George Jose,"Research Areas:\nUrban Peripheries, Creative Cities",arts-and-humanities
103,Daryl Fougnie,"Research Websites:\nFougnie Lab\nResearch Areas:\nPerception, Memory",science
104,Muhamed Osman Al-Khalil,"Research Websites:\nSimplification of Arabic Masterpieces for Extensive Reading (SAMER)\nResearch Areas:\nArabic language computing, Arabic corpora, literary biography, literary archives, language policy, and the interplay of the literary and political in modern Arabic literature",arts-and-humanities
105,Brijith Thomas,"Research Areas:\nSSNMR, spectroscopy, NMR Crystallography, Dynamic nuclear polarisation",science
106,Sohmyung Ha,Research Websites:\nIntegrated BioElectronics Laboratory\nResearch Areas:\nBiomedical circuits and sensors for implantable and wearable applications,engineering
107,Samreen Malik,"Research Areas:\nApplied micro, Development, Macroeconomics",social-science
108,Najwa Belkziz,Research Areas:\nHistorical Memory; Transitional Justice; Media; Refugees; Migration; Conflict; Peace Education; Kinship; Middle East & North Africa,arts-and-humanities
109,Ernesto Reuben,Research Websites:\nCenter for Behavioral Institutional Design\nResearch Areas:\nDeterminants of labor-market outcomes; Social norms; Gender; Stereotypes; Behavioral Public Policy,social-science
110,Soha Sarkis,"Research Areas:\nFrench colonial empire, slavery, human trafficking, migrant crisis",arts-and-humanities
111,Aikaterini Arfara,Research Areas:\npublic works; socially engaged art; installation; post-documentary theaters,arts-and-humanities
112,Ramesh Jagannathan,Research Websites:\nNano and Biomaterials Research Lab\nResearch Areas:\nentrepreneurial technology,engineering
113,Riyadh Baghdadi,"Research Websites:\nCenter for Artificial Intelligence and Robotics\nCenter for Cyber Security\nResearch Areas:\nCompilers, Programming Languages, Deep Learning, Artificial Intelligence, High Performance Computing",science
114,Nasser Isleem,"",arts-and-humanities
115,Ahmed Eid Khamis Thani Almheiri,Research Areas:\nQuantum Gravity; Quantum Information; Black Holes; String Theory; Holography; AdS/CFT,science
116,Denise-Marie Teece,Research Areas:\nart and architecture in the Islamic world,arts-and-humanities
117,Raed Hashaikeh,"Research Websites:\nWater Research Center\nResearch Areas:\nAdvanced Materials, Nanofibers, Membranes, Desalination",engineering
118,Gabriel Rabin,"Research Areas:\nphilosophy of mind, metaphysics",arts-and-humanities
119,Alicja Reuben,"Research Areas:\nCSR, Gender, Valuation Techniques, SSC",social-science
120,Scandar Copti,"Research Areas:\nfilmmaking, documentary, short films",arts-and-humanities
121,Nidal Hilal,Research Websites:\nWater Research Center\nResearch Areas:\nDesalination; water treatment; membrane technology,engineering
122,Peter Goodrich,Research Areas:\nLegal history and theory; Law and literature,social-science
123,Kangsan Lee,"Research Areas:\nEconomic Sociology, Sociology of Art and Culture, Organizations and Entrepreneurship, Computational Social Science, Social Networks",social-science
124,Jemima A. Frimpong,Research Areas:\nAdoption of Innovation; Decision Making; Health Care Organizations; Organizational Behavior,social-science
125,Paul Craig,"Research Areas:\nConstitutional law, Administrative law, EU law",arts-and-humanities
126,Aude Epstein,Research Websites:\nRead More about The Ecologization of Business Law\nResearch Areas:\nEnvironmental law and Justice ; Business Law; Animal Welfare; Constitutional Litigation,arts-and-humanities
127,Jennifer Sheehy-Skeffington,Research Areas:\nSocial Psychology; Poverty; Social Class; Inequality; Ideology; Prejudice; Political Behaviour,science
128,Nelida Fuccaro,Research Areas:\nhistory of the modern Middle East,arts-and-humanities
129,Djellel Difallah,"Research Areas:\nCrowdsourcing, Machine Learning, Knowledge Management & Discovery",science
130,Marion Wrenn,"Research Areas:\njournalism history, study of popular culture",arts-and-humanities
131,Sujeong Shim,Research Areas:\nInternational Political Economy; International Organizations; Domestic Politics,social-science
132,Salah Mehdi,Research Areas:\nRepresentation Theory of Lie Groups,science
133,Matteo Marciano,"Research Websites:\nGazelien Records\nResearch Areas:\nsound recording, music production, sound mixing, and music cognition",arts-and-humanities
134,Fiona Newell,"Research Areas:\nHuman Perception; Multisensory Perception: Face, Object, and Scene Recognition",science
135,Giuliana Pardelli,Research Areas:\nPolitical Economy; Taxation; State Capacity; Public Goods Provision; Inequality,social-science
136,Joseph Gelfand,"Research Websites:\nCenter for Astro, Particle, and Planetary Physics\nResearch Areas:\nSupernovae, Stars, Pulsar Wind Nebulae",science
137,Rashmi Devi Sawhney,"Research Areas:\nCinema studies, visual arts, curatorial practice, indigenous film and media production, South Asia, archives, science fiction",arts-and-humanities
138,Federico Camia,"Research Areas:\nStatistical Physics, Probability Theory",science
139,Jiani Lian,Research Areas:\nChinese Language Pedagogy; Classical Chinese Language and Literature; Active Learning,arts-and-humanities
140,Pavlos Eleftheriadis,"Research Areas:\nJurisprudence, rights, European Union, justice, climate change",arts-and-humanities
141,Lee Gurdial Kaur Singh,"Research Areas:\nSoviet history, cultural life in the Soviet Union; ballet history, critical dance studies, social history;",arts-and-humanities
142,John Sexton,"",arts-and-humanities
143,Konstantinos Kyriakopoulos,Research Areas:\nRobotics; Autonomous Systems; Automatic Control,engineering
144,David Holland,"Research Websites:\nCenter for Global Sea Level Change\nEnvironmental Fluid Dynamics Laboratory New York\nResearch Areas:\nClimate Science, Sea Level",science
145,Laure Salma Assaf,"Research Areas:\nArabian Peninsula; United Arab Emirates, Youth, Migration, Hierarchies, Social change, Anthropology",arts-and-humanities
146,Mai Oudah,"Research Areas:\nArtificial Intelligence, Machine Learning, Bioinformatics, Metagenomics, Meta/Transcriptomics, Natural Language Processing, Information Extraction and Retrieval, Data Analysis",science
147,Andrew J. Eisenberg,"Research Areas:\nanthropology of music; anthropology of sound; African popular music; sound and space; ethnicity and citizenship in urban Africa; music and capitalism; East Africa, Swahili coast, Indian Ocean",arts-and-humanities
148,Margaret Julias,"",engineering
149,Azam Gholami,Research Areas:\nActive Matter; Collective behavior and non-linear dynamics in living systems; Cell motility; Actin dynamics; Micro-swimmers; Cilia-driven fluid flows and propulsion,science
150,Rafael Maria Gutierrez,"Research Areas:\nComplex Systems, Thermodynamics, Statistical Physics, Entropy, Information, Innovation",science
151,Hisham Sati,"Research Areas:\nMathematical Physics, Quantum Field Theory, Differential Geometry,  Algebraic Topology, Geometric and Topological Aspects of Physics",science
152,Blaine Robbins,Research Areas:\nSocial Psychology; Political Sociology; Social Networks; Research Methods,social-science
153,Laila Familiar,"Research Areas:\nLanguage Teachers Education, Instructional Coaching, Curricular Design, Corpus Linguistics, Arabic Literacy, Language Policy, Assessment.",arts-and-humanities
154,Yaw Nyarko,Research Websites:\nResearch & Empirical Analysis of Labor Migration\nResearch Areas:\nHuman capital; Economic growth,social-science
155,Arda Gucler,Research Areas:\nPolitical Theory; Democratic thought; Political Representation; Orientalism; Nationalism,social-science
156,Michele Pavon,"Research Areas:\nOptimal Transport, Steering of Probability Distributions, Stochastic Mechanics, Harmonic Analysis and Social Cognition",science
157,Aleksander Rebane,Research Areas:\nSoft Matter Physics; Single-molecule Biophysics; Liquid-liquid Phase Separation; Optical Tweezers; Intracellular Trafficking;,science
158,Houssam Abdul Rahman,"Research Areas:\nMathematical Physics: Disordered Quantum Many Body Systems, Many-Body Localization, Quantum Information Theory; Operations Research/Simulation; Monte Carlo methods.",science
159,Edward James Larkin,"Research Areas:\nPetroleomics, Asphaltenes, Chemistry Education, STEAM/WESTEM Outreach",science
160,Masha Kirasirova,"Research Areas:\nPolitical and Cultural History of the Soviet Union, Colonialism/Anti-colonialism, Orientalism, Transnational History, Central Asia, the Modern Middle East, the Global Cold War, Gender, and Soviet Film.",arts-and-humanities
161,Ghazi Faisal Al-Mulaifi,Research Areas:\nKuwaiti pearl-diving music; Global jazz; Music and sea trade in Indian Ocean; Aesthetics; Philosophy,arts-and-humanities
162,Benjamin Laughlin,Research Areas:\nComparative politics; Political economy; Conflict; Ethnic and national identity,social-science
163,Sunil Kumar,Research Areas:\nTransport of light and thermal radiation,engineering
164,Hernan Lopez-Schier,Research Areas:\nOrganization; mechanosensory organs; development; regeneration; collective behavior,science
165,Rosemary Byrne,Research Areas:\nPublic international law; International and EU human rights law; International refugee and EU asylum law; International criminal justice,social-science
166,Hannah Brückner,Research Areas:\nInequality; Health; Gender; Sexuality,social-science
167,Luca Maria Pesando,Research Areas:\nFamily; Poverty; Inequality; Demography;  Education; Health; Youth; Child Development; Technology; Big Data; Computational Social Science; Public Policy; Policy Evaluation; Comparative Studies; Cross-Country Analyses; sub-Saharan Africa; Low- and Middle-Income Countries,social-science
168,João Paulo Fernandes,"Research Areas:\nEnvironmental Sustainability, Software, Quantum Computing",science
169,Adeel Hussain,Research Areas:\nComparative Public Law; Jurisprudence; International Law; Legal and Political Theory; Global History,arts-and-humanities
170,Pierre Youssef,"Research Areas:\nProbability, Convex Geometry, Random Matrices, Random Graphs",science
171,Mustafa Yavas,Research Areas:\nEconomic Sociology; Political Sociology; Sociology of Work; Social Networks,social-science
172,Rahul Sagar,Research Websites:\nIdeas of India\nResearch Areas:\nPolitical theory; Political ethics; Public policy,social-science
173,Michael Shiloh,"Research Areas:\nparticipatory installations, machine art, conceptual furniture",arts-and-humanities
174,Matthew Karau,Research Areas:\ninteractive systems,engineering
175,Toral Gajarawala,"Research Areas:\ntheories of the novel and narrative, postcolonial studies, subaltern studies, the relationship between aesthetics and politics",arts-and-humanities
176,Nader Masmoudi,"Research Websites:\nCenter for Stability, Instability, and Turbulence\nResearch Areas:\nFluid Mechanics",science
177,Nathalie Peutz,"Research Areas:\nforced migration and displacement; mobility and immobility; conservation and development; identity and heritage; Yemen, Horn of Africa",arts-and-humanities
178,Matthew Silverstein,"Research Areas:\nfoundations of ethics, normative ethics, the philosophy of action, political philosophy, early modern European philosophy, history of ethics",arts-and-humanities
179,Alia Yunis,"Research Websites:\nDhakira Center for Hertiage Studies\nResearch Areas:\nMiddle East & the Gulf; Film & Television; Literature; Heritage; Memory & Identity; Heritage, Food& Environment",arts-and-humanities
180,Aya Mohamed Salaheldin Riad,"Research Areas:\nInteractive design and architecture, emotive AI, affective computing, parametric architecture, bottom-up behavioral design systems",arts-and-humanities
181,Mahmoud Rasras,Research Websites:\nCenter for Cyber Security (CCS)\nPhotonics Research Lab\nResearch Areas:\nPhotonic components for next-generation optical and microwave photonic networks,engineering
182,Satnam Singh Choongh,Research Areas:\nPlanning and Environmental Law; Legal Writing and Research,arts-and-humanities
183,Fiona Kidd,"Research Areas:\nidentity, images and the built environment, craft production, pre-Islamic Central Asian visual art",arts-and-humanities
184,Sanjeev Goyal,Research Areas:\nEconomic theory. Networks. Conflict. Identity.,social-science
185,Stéphane Boissinot,Research Websites:\nEvolutionary Genomics Lab\nResearch Areas:\nEvolutionary Biology,science
186,Camilla Boisen,Research Areas:\nIntellectual history of empire and Political Theory,arts-and-humanities
187,Ali Trabolsi,Research Websites:\nTrabolsi Research Group\nWater Research Center\nResearch Areas:\nMaterials for Health and Environment,science
188,Tishani Doshi,Research Areas:\ncontemporary poetry & dance,arts-and-humanities
189,Weiren Zhao,"Research Areas:\nFunctional Analysis, Harmonic Analysis, PDEs, Fluid Dynamics, Plasma Physics",science
190,Peter Cornelis van der Windt,Research Websites:\nFieldlab DRC\nResearch Areas:\nAfrica; Experiments; Governance; Displacement; Poverty,social-science
191,Bedoor AlShebli,Research Areas:\nComputational social science; Data science; Big data; Science of science,social-science
192,Maria Grigoryeva,Research Areas:\nCrime; Deviance; Information Management;,social-science
193,Jeremy Teo,"Research Websites:\nLaboratory for Immuno Bioengineering Research and Applications (LIBRA)\nResearch Areas:\nimmune-mechanobiology, biomaterials, biomimetic in vitro system, space immunology, bioartificial organs",engineering
194,Rana Tomaira,Research Areas:\nDevelopment and public policy; Comparative development practices; Development,social-science
195,Paulo Lemos Horta,Research Areas:\nworld literature,arts-and-humanities
196,Manal Mohamed Al Marzooqi,"Research Areas:\nArabic Language, Classical Arabic, Linguistics, Syntax, sociolinguistics, psycholinguistics.",arts-and-humanities
197,Etienne Wasmer,Research Areas:\nLabor Economics; Macroeconomics; Search Theory; Urban Economics,social-science
198,Wisam Alshaibi,Research Areas:\nPolitical violence; war; human rights; foreign policy; Iraq; elites; political sociology,social-science
199,Rana Khalid AlMutawa,Research Areas:\nUAE; GCC; Belonging; Urbanity; Community; Social Distinction,social-science
200,Ahmed Afzal,"Research Areas:\nHost-Pathogen Interactions, Prion Biology, Protein Structure-Function Relationships",science
201,Pradeep George,Research Areas:\ncomputational modeling and optimization,engineering
202,Oren Hanner,Research Areas:\nBuddhist Philosophy (Indian and Tibetan); History of Indian Philosophy; Ethics; Action Theory,arts-and-humanities
203,Sabyn Javeri,"Research Areas:\nPostcolonial Feminism, South Asian Literature, Creative Writing",arts-and-humanities
204,Monica Marks,Research Areas:\nContemporary Politics of the Middle East and North Africa; Religion & Politics; Secularism; Islamist Movements; Gender & Politics; Comparative Politics of Democratic Transitions,arts-and-humanities
205,Alex Delis,"Research Areas:\nDistributed/Virtualized Data Systems, Management of Big Data and Software Systems",science
206,Terri Lynn Geis,Research Areas:\nSurrealism; Art of the Americas; Women Modernists,arts-and-humanities
207,Aaron Sherwood,"Research Areas:\nApplied explorations of consciousness, cosmopoiesis, embodiment, entropy, and semiotics in multi-sensory interactive systems, visual art, and sound",arts-and-humanities
208,Alberto Gandolfi,"Research Areas:\nStatistical Mechanics, Models for Epidemics, Bioinformatics, Statistics of Unobserved Species",science
209,Sreekumar Pankajakshan,"Research Areas:\nChemical Synthesis, Catalysis, Chemistry Education",science
210,Stephane Helleringer,"Research Areas:\nDemography; Epidemics; Mortality, and Causes of Deaths",social-science
211,Mohamed Al-Sayegh,Research Areas:\nStem Cell Biology; Differentiation; Adipose Tissue Development; Next-Generation Sequencing,science
212,David Scicchitano,"Research Areas:\nMolecular Biology, Genomic Maintenance Mechanics",science
213,Sophia Kalantzakos,"Research Websites:\neARThumanities Research Initiative\nThe Geopolitics and Ecology of Himalayan Water\nResearch Areas:\nglobal environmental governance, resource competition, energy, China’s belt and road initiative, EU institutions, gender and diversity, cross-border mobility.",arts-and-humanities
214,Laila Soliman,Research Areas:\nSocio-Political Theater; Post-Dramatic; Documentary Theater; Multi-disciplinary Contemporary Theater; African Theater; Arab Theater;,arts-and-humanities
215,Carmen Bugan,"Research Areas:\nPoetry and politics; poetry of witness; Cold War surveillance; Seamus Heaney; postwar East European poetry in translation; ethics and literature; literature and medicine; life writing, autobiography, and memoir",arts-and-humanities
216,Gregor Stemmrich,"Research Areas:\nnew technologies in contemporary art (film and video), media theory, history of exhibitions and art institutions, artist’s writings, art criticism, art theory; transcultural perspectives in art history, post-colonial critique, gender studies",arts-and-humanities
217,Christina Pöpper,Research Websites:\nCyber Security and Privacy Lab\nCenter for Cyber Security\nResearch Areas:\nInformation and Communication Security,science
218,Tuka Waddah Alhanai,Research Websites:\nLaboratory for Computer-Human Intelligence\nResearch Areas:\nComputer-Human Intelligence,engineering
219,Thomas Potsch,"Research Areas:\nCongestion Control Protocols, Communication Networks, Wireless Networks",science
220,Jingoo Kang,Research Areas:\nExploration and exploitation; vacillation theory; dynamic ambidexterity,social-science
221,Paula England,Research Areas:\nGender inequality; Families; Sexualities,social-science
222,Sun Hee Bae,"",arts-and-humanities
223,Martin Klimke,"Research Websites:\nThe Global Sixties\nFamily Business Histories\nThe Civil Rights Struggle, African American GIs, and Germany\nThe Nuclear Crisis\nResearch Areas:\nintersections of political and cultural, diplomatic, and transnational history, 20th century US-European relations, Cold War",arts-and-humanities
224,Johannes Andreas Valentin,Research Areas:\nPhotography; Art History; Cultural Studies,arts-and-humanities
